Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
30,67.04727564102564,LF,RFA,Byz-NSGDM,0,0.1
60,80.20833333333333,LF,RFA,Byz-NSGDM,0,0.1
90,79.51722756410257,LF,RFA,Byz-NSGDM,0,0.1
120,79.24679487179488,LF,RFA,Byz-NSGDM,0,0.1
150,81.1698717948718,LF,RFA,Byz-NSGDM,0,0.1
180,81.69070512820512,LF,RFA,Byz-NSGDM,0,0.1
210,82.49198717948718,LF,RFA,Byz-NSGDM,0,0.1
240,83.2832532051282,LF,RFA,Byz-NSGDM,0,0.1
270,83.21314102564102,LF,RFA,Byz-NSGDM,0,0.1
300,83.57371794871794,LF,RFA,Byz-NSGDM,0,0.1
330,83.97435897435898,LF,RFA,Byz-NSGDM,0,0.1
360,84.13461538461539,LF,RFA,Byz-NSGDM,0,0.1
390,84.4551282051282,LF,RFA,Byz-NSGDM,0,0.1
420,84.7255608974359,LF,RFA,Byz-NSGDM,0,0.1
450,84.79567307692308,LF,RFA,Byz-NSGDM,0,0.1
480,84.95592948717949,LF,RFA,Byz-NSGDM,0,0.1
510,85.34655448717949,LF,RFA,Byz-NSGDM,0,0.1
540,85.41666666666667,LF,RFA,Byz-NSGDM,0,0.1
570,85.16626602564102,LF,RFA,Byz-NSGDM,0,0.1
600,85.36658653846153,LF,RFA,Byz-NSGDM,0,0.1
630,85.57692307692308,LF,RFA,Byz-NSGDM,0,0.1
660,85.6270032051282,LF,RFA,Byz-NSGDM,0,0.1
690,85.86738782051282,LF,RFA,Byz-NSGDM,0,0.1
720,86.0176282051282,LF,RFA,Byz-NSGDM,0,0.1
750,85.77724358974359,LF,RFA,Byz-NSGDM,0,0.1
780,85.84735576923077,LF,RFA,Byz-NSGDM,0,0.1
810,85.9375,LF,RFA,Byz-NSGDM,0,0.1
840,85.82732371794872,LF,RFA,Byz-NSGDM,0,0.1
870,85.86738782051282,LF,RFA,Byz-NSGDM,0,0.1
900,86.0176282051282,LF,RFA,Byz-NSGDM,0,0.1
930,86.26802884615384,LF,RFA,Byz-NSGDM,0,0.1
960,86.15785256410257,LF,RFA,Byz-NSGDM,0,0.1
990,86.2079326923077,LF,RFA,Byz-NSGDM,0,0.1
1020,86.38822115384616,LF,RFA,Byz-NSGDM,0,0.1
1050,86.35817307692308,LF,RFA,Byz-NSGDM,0,0.1
1080,86.23798076923077,LF,RFA,Byz-NSGDM,0,0.1
1110,86.19791666666667,LF,RFA,Byz-NSGDM,0,0.1
1140,86.26802884615384,LF,RFA,Byz-NSGDM,0,0.1
1170,86.41826923076923,LF,RFA,Byz-NSGDM,0,0.1
1200,86.72876602564102,LF,RFA,Byz-NSGDM,0,0.1
1230,86.57852564102564,LF,RFA,Byz-NSGDM,0,0.1
1260,86.70873397435898,LF,RFA,Byz-NSGDM,0,0.1
1290,86.3681891025641,LF,RFA,Byz-NSGDM,0,0.1
1320,86.52844551282051,LF,RFA,Byz-NSGDM,0,0.1
1350,86.61858974358974,LF,RFA,Byz-NSGDM,0,0.1
1380,86.6386217948718,LF,RFA,Byz-NSGDM,0,0.1
1410,86.73878205128206,LF,RFA,Byz-NSGDM,0,0.1
1440,86.64863782051282,LF,RFA,Byz-NSGDM,0,0.1
1470,86.82892628205128,LF,RFA,Byz-NSGDM,0,0.1
1500,86.58854166666667,LF,RFA,Byz-NSGDM,0,0.1
30,81.5204326923077,LF,CM,Baseline,0,0.01
60,81.51041666666667,LF,CM,Baseline,0,0.01
90,82.8125,LF,CM,Baseline,0,0.01
120,84.12459935897436,LF,CM,Baseline,0,0.01
150,84.98597756410257,LF,CM,Baseline,0,0.01
180,85.546875,LF,CM,Baseline,0,0.01
210,85.82732371794872,LF,CM,Baseline,0,0.01
240,86.41826923076923,LF,CM,Baseline,0,0.01
270,86.2479967948718,LF,CM,Baseline,0,0.01
300,86.64863782051282,LF,CM,Baseline,0,0.01
330,87.03926282051282,LF,CM,Baseline,0,0.01
360,87.03926282051282,LF,CM,Baseline,0,0.01
390,87.36979166666667,LF,CM,Baseline,0,0.01
420,87.56009615384616,LF,CM,Baseline,0,0.01
450,87.47996794871794,LF,CM,Baseline,0,0.01
480,87.78044871794872,LF,CM,Baseline,0,0.01
510,87.78044871794872,LF,CM,Baseline,0,0.01
540,87.84054487179488,LF,CM,Baseline,0,0.01
570,87.76041666666667,LF,CM,Baseline,0,0.01
600,88.00080128205128,LF,CM,Baseline,0,0.01
630,88.02083333333333,LF,CM,Baseline,0,0.01
660,87.91065705128206,LF,CM,Baseline,0,0.01
690,88.21113782051282,LF,CM,Baseline,0,0.01
720,88.19110576923077,LF,CM,Baseline,0,0.01
750,88.25120192307692,LF,CM,Baseline,0,0.01
780,88.34134615384616,LF,CM,Baseline,0,0.01
810,88.42147435897436,LF,CM,Baseline,0,0.01
840,88.3213141025641,LF,CM,Baseline,0,0.01
870,88.43149038461539,LF,CM,Baseline,0,0.01
900,88.42147435897436,LF,CM,Baseline,0,0.01
930,88.671875,LF,CM,Baseline,0,0.01
960,88.60176282051282,LF,CM,Baseline,0,0.01
990,88.50160256410257,LF,CM,Baseline,0,0.01
1020,88.6318108974359,LF,CM,Baseline,0,0.01
1050,88.57171474358974,LF,CM,Baseline,0,0.01
1080,88.66185897435898,LF,CM,Baseline,0,0.01
1110,88.51161858974359,LF,CM,Baseline,0,0.01
1140,88.58173076923077,LF,CM,Baseline,0,0.01
1170,88.53165064102564,LF,CM,Baseline,0,0.01
1200,88.83213141025641,LF,CM,Baseline,0,0.01
1230,88.671875,LF,CM,Baseline,0,0.01
