Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
30,63.44150641025641,BF,RFA,0.95,0.1,256
60,81.03966346153847,BF,RFA,0.95,0.1,256
90,72.265625,BF,RFA,0.95,0.1,256
120,77.75440705128206,BF,RFA,0.95,0.1,256
150,78.32532051282051,BF,RFA,0.95,0.1,256
180,80.90945512820512,BF,RFA,0.95,0.1,256
210,82.09134615384616,BF,RFA,0.95,0.1,256
240,83.0829326923077,BF,RFA,0.95,0.1,256
270,83.06290064102564,BF,RFA,0.95,0.1,256
300,83.82411858974359,BF,RFA,0.95,0.1,256
330,84.31490384615384,BF,RFA,0.95,0.1,256
360,84.57532051282051,BF,RFA,0.95,0.1,256
390,84.73557692307692,BF,RFA,0.95,0.1,256
420,84.375,BF,RFA,0.95,0.1,256
450,85.0360576923077,BF,RFA,0.95,0.1,256
480,85.1963141025641,BF,RFA,0.95,0.1,256
510,85.57692307692308,BF,RFA,0.95,0.1,256
540,85.96754807692308,BF,RFA,0.95,0.1,256
570,85.29647435897436,BF,RFA,0.95,0.1,256
600,85.68709935897436,BF,RFA,0.95,0.1,256
30,9.324919871794872,BF,RFA,0.3,0.001,0
60,10.38661858974359,BF,RFA,0.3,0.001,0
90,11.46834935897436,BF,RFA,0.3,0.001,0
120,12.029246794871796,BF,RFA,0.3,0.001,0
150,12.890625,BF,RFA,0.3,0.001,0
180,13.42147435897436,BF,RFA,0.3,0.001,0
210,13.962339743589743,BF,RFA,0.3,0.001,0
240,14.393028846153847,BF,RFA,0.3,0.001,0
270,14.803685897435898,BF,RFA,0.3,0.001,0
300,15.14423076923077,BF,RFA,0.3,0.001,0
330,15.604967948717949,BF,RFA,0.3,0.001,0
360,15.895432692307692,BF,RFA,0.3,0.001,0
390,16.235977564102566,BF,RFA,0.3,0.001,0
420,16.536458333333332,BF,RFA,0.3,0.001,0
450,16.90705128205128,BF,RFA,0.3,0.001,0
480,17.197516025641026,BF,RFA,0.3,0.001,0
510,17.578125,BF,RFA,0.3,0.001,0
540,17.828525641025642,BF,RFA,0.3,0.001,0
570,18.07892628205128,BF,RFA,0.3,0.001,0
600,18.37940705128205,BF,RFA,0.3,0.001,0
30,5.3485576923076925,BF,RFA,0.95,0.001,42
60,4.4170673076923075,BF,RFA,0.95,0.001,42
90,4.276842948717949,BF,RFA,0.95,0.001,42
120,4.967948717948718,BF,RFA,0.95,0.001,42
150,6.1298076923076925,BF,RFA,0.95,0.001,42
180,7.49198717948718,BF,RFA,0.95,0.001,42
210,8.75400641025641,BF,RFA,0.95,0.001,42
240,10.006009615384615,BF,RFA,0.95,0.001,42
270,11.298076923076923,BF,RFA,0.95,0.001,42
300,12.33974358974359,BF,RFA,0.95,0.001,42
330,13.361378205128204,BF,RFA,0.95,0.001,42
